"name","genre_id"
"ス-パ-ドリル",234
"セ-パ-バイス",298
"ツ-リング",223
"モ-ルステ-パ-ホルダ-",224
"エ-スロック",224
"サ-フテスト",206
"デ-タバンク",261
"ボ-リングア-バ-",229
"セ-パーバイス",298
"ワ-クグリッパ-",240
"キ-レスチャック",224
"ク-ラントポンプ",261
"ツ-リングラック",223
"テ-ブルリフター",293
"デ-タワンホルダ",408
"ボ-リングヘッド",229
"ミ-リングチャック",223
"ワ-クドライビングセンタ-",260
"シム",237
"ナゴ",313
"バフ",111
"プル",223
"ホブ",114
"ボア",312
"マス",315
"エア ホイスト",290
"マス イケール",300
"チラ-",261
"ギャ-プ-ラ-",257
"ツリ-ガン",261
"ホイ-ルロ-ダ-",297
"エア-バイス",240
"パワ-バイス",298
"クレ-ンスケ-ル",203
"スチ-ムクリ-ナ-",385
"エア-チャック",240
"パワ-リフター",293
"ニュ-ゼロセンサ",406
"エア-グラインダ-",237
"ヒュ-ムコレクタ-",261
"エア-コレットチャック",238
"はかり",209
"やすり",257
"アトラ",95
"カッタ",136
"カプラ",232
"ゲージ",314
"コピー",379
"サドル",297
"スコヤ",261
"スパナ",237
"タッパ",235
"タップ",235
"タンク",261
"ダイス",237
"チップ",233
"チラー",140
"ツール",237
"デプス",314
"トナー",261
"ドリル",234
"ナット",231
"ニブラ",257
"ノギス",261
"ハカリ",314
"バイス",261
"バイト",233
"バルブ",261
"ブロア",372
"プレス",44
"ホルダ",226
"ボアズ",312
"ボルト",232
"ポンプ",261
"ヤスリ",257
"ライト",261
"リフマ",293
"リーマ",237
"ロクロ",61
"ワゴン",232
"タップ ダイス",237
"ドリル タップ",237
"タップ ダイスハンドル",237
"タッパ-",224
"パッケ-ジ",191
"ジグボ-ラ-",85
"リニア-スケール",314
"パッケ-ジべビコン",191
"インモ-ションセンタ",6
"テーパ-シャンクドリル",234
"パッケ-ジコンプレッサー",191
"ダイス/タップハンドル",261
"ターン.テーブル",261
"アダプタ",226
"アトラー",165
"アンビル",127
"アンピル",151
"アーバー",228
"イケール",245
"ウインチ",292
"エアコン",367
"カイザー",224
"カッター",151
"ガーター",297
"クランプ",237
"クレーン",284
"クーラー",367
"ケトバシ",278
"コバルト",236
"コレット",227
"コンベア",296
"サンダー",113
"シャンク",229
"シリンダ",261
"シーラー",378
"ジグソー",136
"ジャッキ",297
"スタンド",313
"ストーブ",367
"スリーブ",232
"センター",233
"セーパー",102
"タイマー",261
"タッパー",94
"ダイサー",126
"チャック",232
"テアシー",257
"テスター",314
"テーブル",245
"デジカム",49
"トランス",327
"トロリー",261
"ドレッサ",250
"ニブラー",136
"ネジッコ",257
"ノコバン",136
"ハンドル",257
"ハンマー",257
"バラマン",297
"パレット",402
"ヒーター",337
"フライス",62
"フランジ",238
"ブラスト",113
"ブレーキ",151
"ブロアー",372
"ブロック",315
"ブロワー",372
"プリンタ",379
"プロコン",61
"ベビコン",191
"ベルトン",113
"ベンダー",145
"ホイスト",290
"ホイール",250
"ホッパー",246
"ホルダー",233
"ボイラー",373
"ポリゴン",60
"ミキサー",417
"モーター",261
"リフター",293
"リフマグ",261
"リフマー",293
"リーマー",236
"ルーター",395
"レベラー",49
"ロッカー",256
"ロボット",361
"ローダー",297
"カッター エンドミル",233
"スリット バキューム プレート",226
"カウンタ-",314
"スロツタ-",100
"チップソ-",155
"リニアゲ-ジ",314
"モジュラ-ツ-リング",224
"スクリュ-コンプレッサ",191
"コレット&アダプター",257
"ねじゲージ",209
"はんだごて",257
"ばねばかり",203
"アイボルト",297
"アダプター",226
"アンコイラ",49
"インサート",237
"インデック",244
"ウォーキー",293
"エアタンク",127
"エアバイス",298
"エアプレス",269
"エアモータ",322
"エコライト",209
"エコリッチ",376
"エンドミル",233
"エースシャ",395
"オイルコン",197
"オシコップ",127
"オレトール",257
"オートバー",246
"カウンター",70
"カドアール",49
"カーリフト",297
"ガウジング",179
"ガストーチ",257
"ガチャノコ",160
"ガンドリル",91
"ガードナー",71
"キャスター",257
"キャリパー",314
"キーシータ",104
"キーボード",43
"ギアモータ",322
"ギヤヘッド",261
"ギヤポンプ",380
"ギヤモータ",322
"クリッカー",50
"クリーナー",375
"クレードル",49
"コムリール",262
"コンベアー",296
"サインバー",209
"サブタンク",215
"サンアーム",186
"サントカー",293
"シェーパー",102
"シャックル",261
"シーケンサ",261
"ジーロック",240
"ストッカー",151
"スパロール",237
"スピンドル",226
"スプリング",261
"スライサー",126
"スロッター",14
"セラチップ",261
"センゲージ",314
"センタレス",71
"セーバソー",160
"ソレノイド",246
"タックミル",236
"タッピング",94
"ターニング",2
"ダイヘッド",169
"ダイボンダ",127
"ダイヤミル",237
"チェンソー",257
"チップソー",136
"チルホール",292
"ツーリング",222
"テストバー",223
"デジマルチ",314
"デュオボア",226
"トラクター",383
"トースカン",257
"ドライバー",257
"ドライヤー",216
"ドラフター",261
"ドリスター",79
"ドリルミラ",70
"ドレッサー",237
"ネコプレス",50
"ネコポンス",50
"ネジゲージ",257
"ネジバイス",298
"ネジプレス",50
"ノスドリル",234
"ノックピン",261
"ノブボルト",232
"ハイカット",160
"ハイスピン",221
"ハイタップ",94
"ハイニブラ",136
"ハイペース",86
"ハンダごて",257
"ハンドシャ",136
"バキューム",375
"バックホー",297
"バフレース",85
"バランサー",209
"バリモータ",261
"バンドソー",127
"パイプソー",158
"パネルソー",136
"パワーミル",237
"パンチャー",198
"ヒートロボ",226
"ピクテスト",304
"ピンゲージ",306
"ピンスパナ",257
"ピンバイス",298
"ピンレース",127
"フィーダー",266
"フォルダー",261
"フルバック",227
"フロ?タ?",261
"フローター",186
"ブルポンプ",49
"ブレスガン",261
"ブレーカー",337
"プラケース",232
"プリセッタ",249
"プリンター",379
"プルボルト",223
"プレーナー",100
"プロッター",261
"ベアリング",261
"ベタバイス",298
"ホットガン",367
"ホーニング",105
"ボアゲージ",314
"ボルスター",49
"ボーリング",229
"ボールねじ",261
"ボールネジ",232
"ポンチング",136
"マグタップ",165
"マグネット",297
"マグバイス",239
"マグボール",95
"ミニターン",1
"ミニバイス",298
"ミルリーマ",237
"メカバイス",298
"メカプレス",50
"メガレンチ",226
"メタルソー",136
"メタルタイ",261
"ラプトロン",261
"リアクター",337
"リッチミル",227
"リップソー",410
"リフトラー",293
"リューター",95
"レジンダー",85
"ロボドリル",6
"ローレット",237
"デュオボア 	",226
"オートシャ-",136
"バランスア-ム",297
"マグネスケ-ル",314
"リニアスケ-ル",301
"アイアンワ-カ-",50
"スポットク-ラ-",367
"モールステ-パスリーブ",224
"マグタップ(アトラ)",165
"ドリリング(タッピング)センター",12
"クレードル(レベラーナシ)",49
"ポンチング(マルチワーカー)",168
"マグタップ(タッピングアトラ)",165
"ポンチング(マルチワーカー・シャープカッター）",160
"らくらくミル",15
"アトラエース",165
"アンコイラー",49
"インジケータ",314
"インデックス",238
"インバーター",246
"ウエーブミル",236
"エアシリンダ",261
"エアタッカー",257
"エアドライバ",395
"エアドライヤ",217
"エアフィルタ",261
"エアブラスト",113
"エアホイスト",290
"エアロラップ",113
"エアータンク",127
"エアーツール",257
"エアーノズル",261
"エアーバイス",240
"エアーパンチ",191
"エアープレス",269
"エースカッタ",257
"オイルタンク",405
"オイルポンプ",261
"オイルミスト",253
"オートグラフ",210
"オートシャー",136
"オートタッパ",224
"オートリール",49
"オートレベル",208
"カッタチップ",236
"カニクレーン",288
"カムブロック",315
"カートリッジ",261
"キャビネット",246
"キュービクル",127
"キーシーター",85
"ギアシェーパ",115
"ギアモーター",318
"ギアモートル",261
"ギヤプーラー",237
"ギヤモートル",322
"ギヤーヘッド",322
"クランプジグ",232
"クリスポンプ",380
"クールファン",367
"グラインダー",85
"グリスパック",232
"グリスポンプ",257
"ケガキゲージ",314
"ケガキハサミ",257
"コピーボード",379
"コンタマシン",127
"コントレータ",261
"コンプレッサ",191
"サイドゲージ",209
"サインドレス",250
"サインバイス",298
"サブテーブル",245
"サブプレート",261
"サージタンク",405
"サーフテスト",206
"サーボアンプ",43
"サーボパック",261
"サーボプレス",189
"サーボモータ",409
"シザーリフト",293
"シャーリング",127
"シャーレンチ",186
"シーケンサー",43
"ジグクレーン",286
"ジグチャック",238
"ジグフライス",62
"ジグボーラー",97
"ジグマチック",237
"ジブクレーン",286
