大沼ID,Ｎｏ,大分類,中分類,機械名,大沼コード,マシンライフジャンルID,マシンライフジャンル名,
2,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ複合旋盤,0101-01,4,複合加工機,
3,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ旋盤(背面複合),0101-11,1,NC旋盤,
4,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ旋盤(背面加工),0101-12,1,NC旋盤,
5,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ旋盤(ミル付),0101-21,1,NC旋盤,
6,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ旋盤(バー仕様),0101-22,1,NC旋盤,
7,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣドラム型旋盤,0101-23,1,NC旋盤,
8,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ旋盤(２ドラム),0101-31,1,NC旋盤,
9,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ旋盤(２ヘッド),0101-41,1,NC旋盤,
10,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣフラット型旋盤,0101-51,1,NC旋盤,
11,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ櫛刃型旋盤,0101-61,1,NC旋盤,
12,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,NC自動盤(背面複合),0101-71,3,NC自動盤,
13,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,NC自動盤(背面付),0101-72,3,NC自動盤,
14,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,NC自動盤(ミル付),0101-73,3,NC自動盤,
15,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,NC自動盤,0101-74,3,NC自動盤,
16,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ多軸自動盤,0101-75,3,NC自動盤,
17,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ立型複合旋盤,0101-81,2,NC立旋盤,
18,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,ＮＣ立型旋盤,0101-82,2,NC立旋盤,
19,101,0101ＮＣ旋盤関係,0101 ：ＮＣ旋盤関係,,0101-99,5,その他NC旋盤,
20,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,門型五面加工ﾏｼﾆﾝｸﾞ,0102-11,8,門型マシニング(5面),
21,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,門型マシニング,0102-12,8,門型マシニング(5面),
22,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,門型ジグセンター,0102-13,8,門型マシニング(5面),
23,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,        その他門型,0102-19,8,門型マシニング(5面),
24,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,立型マシニング,0102-21,6,立マシニング,
25,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,立型タップセンター,0102-22,12,ドリリング(タッピング)センター,
26,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,立型ドリルセンター,0102-23,12,ドリリング(タッピング)センター,
27,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,        その他立型,0102-29,12,ドリリング(タッピング)センター,
28,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,横型五面加工ﾏｼﾆﾝｸﾞ,0102-31,7,横マシニング,
29,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,横中ぐりマシニング,0102-32,7,横マシニング,
30,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,横型マシニング,0102-33,7,横マシニング,
31,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,横型タップセンター,0102-34,12,ドリリング(タッピング)センター,
32,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,横型ドリルセンター,0102-35,12,ドリリング(タッピング)センター,
33,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,        その他横型,0102-39,12,ドリリング(タッピング)センター,
34,102,0102マシニング,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,,0102-99,14,その他マシニング,
35,103,0103NC中ｸﾞﾘ･ﾎﾞｰﾙ盤,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,ＮＣ立中ぐり盤,0103-11,38,NC立中ぐり盤,
36,103,0103NC中ｸﾞﾘ･ﾎﾞｰﾙ盤,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,ＮＣ横中ぐり盤,0103-21,36,NC横中ぐり盤(フライス),
37,103,0103NC中ｸﾞﾘ･ﾎﾞｰﾙ盤,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,ＮＣジグボーラー,0103-31,37,NCジグ中ぐり盤,
38,103,0103NC中ｸﾞﾘ･ﾎﾞｰﾙ盤,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,,0103-99,,,1
39,104,0103NC中ｸﾞﾘ･ﾎﾞｰﾙ盤,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,ＮＣ鋼板穴明け機,0104-11,161,ドリルマシン(オートボーラー),
40,104,0103NC中ｸﾞﾘ･ﾎﾞｰﾙ盤,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,ＮＣ多軸Ｈ鋼加工機,0104-21,161,ドリルマシン(オートボーラー),
41,104,0103NC中ｸﾞﾘ･ﾎﾞｰﾙ盤,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,ＮＣラジアルボール,0104-31,88,ラジアルボール盤,
42,104,0103NC中ｸﾞﾘ･ﾎﾞｰﾙ盤,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,ＮＣボール盤,0104-41,33,NCボール盤,
43,104,0103NC中ｸﾞﾘ･ﾎﾞｰﾙ盤,0102-：ﾏｼﾆﾝｸﾞ･NCﾅｶｸﾞﾘ･NCﾎﾞｰﾙ,,0104-99,,,1
44,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,立型ｸﾞﾗﾌｧｲﾄ加工機,0105-11,10,グラファイト加工機,
45,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,横型ｸﾞﾗﾌｧｲﾄ加工機,0105-12,10,グラファイト加工機,
46,105,0105ｸﾞﾗﾌｧｲﾄ･倣い,0105 ：ｸﾞﾗﾌｧｲﾄ･倣い･ﾃﾞｼﾞﾀｲｻﾞｰ,,0105-19,10,グラファイト加工機,
