No,A カテゴリ,B カテゴリ,機種コード,Cカテゴリ　[中古機械情報百貨店],,,,
1,NC工作機械,NC旋盤,'01-01-01,NC旋盤,1,NC旋盤,1,NC旋盤
,CNC Machine Tools ,CNC Lathe,'01-01-02,NC立旋盤,2,NC立旋盤,1,NC旋盤
,11月26日,,'01-01-03,NC自動盤（複合）,3,NC自動盤,1,NC旋盤
,,,'01-01-04,複合加工機,4,複合加工機,1,NC旋盤
,,,'01-01-99,その他NC旋盤,5,その他NC旋盤,1,NC旋盤
,,マシニング,'01-02-01,立マシニング,6,立マシニング,2,マシニング
,,Machining Center,'01-02-02,横マシニング,7,横マシニング,2,マシニング
,,,'01-02-03,門型マシニング・五面加工機,8,門型マシニング（５面）,2,マシニング
,,,'01-02-04,5軸以上マシニング,9,５軸マシニング,2,マシニング
,,,'01-02-05,グラファイト加工機,10,グラファイト加工機,2,マシニング
,,,'01-02-06,高速加工機,14,その他マシニング,2,マシニング
,,,'01-02-07,ドリリング（タッピング）センター,12,ドリリング（タッピング）センター,2,マシニング
,,,'01-02-08,グライディングセンター,13,グライディングセンター,2,マシニング
,,,'01-02-99,その他マシニング,14,その他マシニング,2,マシニング
,,NCフライス,'01-03-01,NC立フライス,15,NC立フライス,3,NCフライス
,,CNC Milling Machine ,'01-03-02,NC横フライス,16,NC横フライス,3,NCフライス
,,,'01-03-03,NC複合フライス,17,NC複合フライス,3,NCフライス
,,,'01-03-04,NC門型フライス,18,NC門型フライス,3,NCフライス
,,,'01-03-05,NCキー溝フライス,19,NCキー溝フライス,3,NCフライス
,,,'01-03-06,NC万能フライス,20,NC万能フライス,3,NCフライス
,,,'01-03-07,NC両頭フライス,21,NC両頭フライス,3,NCフライス
,,,'01-03-08,NC彫刻機,22,NC彫刻機,3,NCフライス
,,,'01-03-99,その他NCフライス,192,その他NCフライス,3,NCフライス
,,NC研削盤,'01-04-01,NC平面研削盤,23,NC平面研削盤,4,NC研削盤
,,CNC Grinding Machine,'01-04-02,NC成形研削盤,24,NC成形研削盤,4,NC研削盤
,,,'01-04-03,NCロータリー研削盤,25,NCロータリー研削盤,4,NC研削盤
,,,'01-04-04,NC内面研削盤,26,NC内面研削盤,4,NC研削盤
,,,'01-04-05,NC円筒研削盤,27,NC円筒研削盤,4,NC研削盤
,,,'01-04-06,NCセンタレス,28,NCセンタレス,4,NC研削盤
,,,'01-04-07,NCプロファイル研削盤,29,NCプロファイル研削盤,4,NC研削盤
,,,'01-04-08,NCジグ研削盤,30,NCジグ研削盤,4,NC研削盤
,,,'01-04-09,NC工具研削盤,31,NC工具研削盤,4,NC研削盤
,,,'01-04-99,その他NC研削盤,32,その他NC研削盤,4,NC研削盤
,,NCボール盤,'01-05-01,NCボール盤,33,NCボール盤,5,NCボール盤（タッピング）
,,CNC Drilling Machine,'01-05-02,NCタッピング,34,NCタッピング,5,NCボール盤（タッピング）
,,,'01-05-03,NCガンドリル,35,NCガンドリル,5,NCボール盤（タッピング）
,,NC中ぐり盤,'01-06-01,NC横中ぐり（フライス）盤,36,NC横中ぐり盤（フライス）,6,NC中ぐり盤（フライス）
,,CNC Boring Machine,'01-06-02,NCジグ中ぐり盤,37,NCジグ中ぐり盤,6,NC中ぐり盤（フライス）
,,,'01-06-03,NC立中ぐり盤,38,NC立中ぐり盤,6,NC中ぐり盤（フライス）
,,,'01-06-99,その他NC中ぐり盤,43,その他NC工作機械,8,その他NC工作機械
,,放電加工機,'01-07-01,放電加工機,39,汎用放電加工機,7,放電加工機
,,EDM (Electrical Discharge Machining),'01-07-02,ワイヤーカット,40,ワイヤーカット,7,放電加工機
,,,'01-07-03,細穴加工機,41,細穴加工機,7,放電加工機
